,title,artist,id,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label
4143,Over,Portishead,6624hZJ0nRh0ve2SelMXVw,https://open.spotify.com/artist/6liAMWkVf5LH7YR9yfFy1Y,0.632,0.712,1,-9.439,1,0.0434,0.453,0.000247,0.113,0.175,74.132,spotify:track:6624hZJ0nRh0ve2SelMXVw,https://api.spotify.com/v1/tracks/6624hZJ0nRh0ve2SelMXVw,235533,nothot
4144,Pale Blue Eyes,The Velvet Underground,11VwZwNF29HrqwalYUMitb,https://open.spotify.com/artist/1nJvji2KIlWSseXRSlNYsC,0.637,0.107,5,-18.759,1,0.0349,0.911,0.00146,0.103,0.296,82.879,spotify:track:11VwZwNF29HrqwalYUMitb,https://api.spotify.com/v1/tracks/11VwZwNF29HrqwalYUMitb,339533,nothot
4145,Excuse Me Mr.,No Doubt,7E7UH5jsEw1vhiM01EQ5gL,https://open.spotify.com/artist/0cQbJU1aAzvbEmTuljWLlF,0.327,0.955,5,-5.435,1,0.105,0.00348,0,0.435,0.661,145.859,spotify:track:7E7UH5jsEw1vhiM01EQ5gL,https://api.spotify.com/v1/tracks/7E7UH5jsEw1vhiM01EQ5gL,185627,nothot
4146,Top Secret,Koopsta Knicca,1mkAEO4bs8crKajEMYihSL,https://open.spotify.com/artist/6cv6xlvIj86g1lUPFkIy2e,0.653,0.793,6,-4.6,0,0.167,0.0187,0,0.35,0.634,85.474,spotify:track:1mkAEO4bs8crKajEMYihSL,https://api.spotify.com/v1/tracks/1mkAEO4bs8crKajEMYihSL,206787,nothot
4147,Take Me To The Riot,Stars,5Dw1Pg19Arb4VgvRzbRPNr,https://open.spotify.com/artist/2EO56JK4txid1Pss9GVbOL,0.558,0.717,3,-5.532,1,0.0368,0.0105,0.033,0.158,0.653,132.777,spotify:track:5Dw1Pg19Arb4VgvRzbRPNr,https://api.spotify.com/v1/tracks/5Dw1Pg19Arb4VgvRzbRPNr,223898,nothot
4148,Burn Clear,Something Happens,3zkWIXdiOvId3t9kqDLBg3,https://open.spotify.com/artist/6V7D7M2wECmGR8eBp9r4Kx,0.29,0.901,2,-7.088,1,0.057,0.00139,0.00874,0.11,0.519,174.0,spotify:track:3zkWIXdiOvId3t9kqDLBg3,https://api.spotify.com/v1/tracks/3zkWIXdiOvId3t9kqDLBg3,198133,nothot
4149,10 A.M. Automatic,The Black Keys,4HIx4KL2XRilgBf6WzfLqI,https://open.spotify.com/artist/7mnBLXK823vNxN3UWB7Gfz,0.497,0.944,0,-3.31,1,0.103,0.597,0.119,0.0376,0.511,122.582,spotify:track:4HIx4KL2XRilgBf6WzfLqI,https://api.spotify.com/v1/tracks/4HIx4KL2XRilgBf6WzfLqI,179133,nothot
4150,LExcessive,Carla Bruni,2XyEWtJY68O0AlxJpSfadK,https://open.spotify.com/artist/1HVwzNriKEjaeE06okqSpx,0.711,0.376,8,-11.755,1,0.0415,0.511,0.00239,0.11,0.409,108.971,spotify:track:2XyEWtJY68O0AlxJpSfadK,https://api.spotify.com/v1/tracks/2XyEWtJY68O0AlxJpSfadK,183613,nothot
4151,Weed,1990s,5o2a8TA8V5sOc75WjUGSjU,https://open.spotify.com/artist/1JEwJAGMlP6JvUkZ5OXkvy,0.391,0.293,7,-18.324,1,0.0383,0.00108,0.000131,0.11,0.202,132.852,spotify:track:5o2a8TA8V5sOc75WjUGSjU,https://api.spotify.com/v1/tracks/5o2a8TA8V5sOc75WjUGSjU,208800,nothot
4152,Besos,Lucas Masciano,6W3r13Qs1Jm0xydGoM0UeR,https://open.spotify.com/artist/1Q4zkNJkrKBh8AW3LZNVRU,0.536,0.396,7,-7.724,1,0.0728,0.421,5.75e-06,0.16,0.165,115.865,spotify:track:6W3r13Qs1Jm0xydGoM0UeR,https://api.spotify.com/v1/tracks/6W3r13Qs1Jm0xydGoM0UeR,520773,nothot
